genre,sub_genre,artist,album,song,ntQ,ntG,ntV,ntR,ntS,ntGl,ntRx,ntC,ntL
Metal,Doom,Gojira,L'enfant Sauvage,The Fall,"7,75",,4,,6,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,The Gift of Guilt,9,,6,,,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,The Wild Healer,9,,"5,5",,,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,This Emptiness,"8,75",,"4,5",,,,,,
Metal,Groove Metal,Gojira,Magma,Silvera,8,,,?,,,,,
Metal,Death,Gojira,The Link,Connected,7,"6,5",,,,,,,
Metal,Death,Gojira,The Link,Dawn,"7,5","6,5",,,,,,,
Metal,Death,Gojira,The Link,Death of Me,"7,75","8,25",,,,,,,
Metal,Death,Gojira,The Link,Embrace the World,"8,25","8,25",,,,,,,
Metal,Death,Gojira,The Link,Indians,"8,5","8,75",,,,,,,
Metal,Death,Gojira,The Link,Inward Movement,8,"7,5",,,,,,,
Metal,Death,Gojira,The Link,Over the Flows,"7,75",7,,,,,,,
Metal,Death,Gojira,The Link,Remembrance,8,"8,5",,,,,,,
Metal,Death,Gojira,The Link,The Link,8,"8,5",,,,,,,
Rock,Alt Rock,Gojira,The Link,Torii,"7,75","6,5",,,,,,,
Metal,Death,Gojira,The Link,Wisdom Comes,"7,25",8,,,,,,,
Metal,Technical Death,Gojira,The way of all flesh,A sight to behold,"8,5",7,,,10,,,,
Metal,Technical Death,Gojira,The way of all flesh,Adoration for none,9,"8,5",,,,,,,
Metal,Technical Death,Gojira,The way of all flesh,All the tears,"7,25","6,5",,,,,,,
Metal,Technical Death,Gojira,The way of all flesh,Esoteric surgery,"9,25",8,,,,,,,
Metal,Technical Death,Gojira,The way of all flesh,Oroborus,9,8,,,10,,,,
Metal,Technical Death,Gojira,The way of all flesh,The Art of Dying,"9,5","8,5",,,10,,,,
Metal,Technical Death,Gojira,The way of all flesh,The silver cord,"7,75","6,5",,,,,,,
Metal,Technical Death,Gojira,The way of all flesh,The way of all flesh,8,"7,5",,,,,,,
Metal,Technical Death,Gojira,The way of all flesh,Toxic garbage island,"8,75",8,,,8,,,,
Metal,Technical Death,Gojira,The way of all flesh,Vacuity,"9,25",9,,,8,,,,
Metal,Technical Death,Gojira,The way of all flesh,Wolf down the earth,"8,5","8,5",,,,,,,
Metal,Technical Death,Gojira,The way of all flesh,Yama's messengers,"7,5",7,,,8,,,,
Rock,Hard Rock,Golden Earring,Moontan,Are You Receiving Me,9,,8,"8,1",,"7,5",,,
Rock,Hard Rock,Golden Earring,Moontan,Candy's Going Bad,"8,5",,,,,,,,
Rock,Blues Rock,Golden Earring,Moontan,Just Like Vince Taylor,"7,5",,,,,,,,
Rock,Hard Rock,Golden Earring,Moontan,Radar Love,"8,5",,,"7,7",,,,,
Rock,Blues Rock,Golden Earring,Moontan,Suzy Lunacy (Mental Rock),8,,,,,,,,
Rock,Hard Rock,Golden Earring,Moontan,Vanilla Queen,"8,75",,,,,,,,
Hip Hop,Alt Rock,Gorillaz,Demon Days,All Alone,"6,75",,6,"7,6",,,,,
Electro,Pop,Gorillaz,Demon Days,DARE,"8,25",,8,,,,,,
Hip Hop,Alt Rock,Gorillaz,Demon Days,Demon Days,"7,75",,"7,5",,,,,,
Hip Hop,Alt Rock,Gorillaz,Demon Days,Dirty Harry,8,,8,,,,,,
Electro,Alt Rock,Gorillaz,Demon Days,Don't Get Lost in Heaven,"7,5",,"8,5",,,,,,
Electro,Alt Rock,Gorillaz,Demon Days,El Mañana,"7,25",,"8,5",,,,,,
Electro,Alt Rock,Gorillaz,Demon Days,Every Planet We Reach Is Dead,"8,25",,"8,5",,,,,,
Hip Hop,Alt Rock,Gorillaz,Demon Days,Feel Good Inc.,9,,9,"7,7",,,,,
Hip Hop,Alt Rock,Gorillaz,Demon Days,Fire Coming out of the Monkey's Head,"8,25",,8,,,,,,
Electro,Alt Rock,Gorillaz,Demon Days,Intro,"7,25",,"6,5",,,,,,
Electro,Alt Rock,Gorillaz,Demon Days,Kids With Guns,"9,75",,"9,25",?,,7,,?,
Electro,Alt Rock,Gorillaz,Demon Days,Last Living Souls,"8,75",,"8,5",,,,,,
Hip Hop,Alt Rock,Gorillaz,Demon Days,November Has Come,"7,25",,"7,5",,,,,,
Electro,Alt Rock,Gorillaz,Demon Days,O Green World,10,?,9,?,,,,?,
Hip Hop,Alt Rock,Gorillaz,Demon Days,White Light,"7,5",,7,,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Broken,"7,5",,8,,8,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Cloud of Unknowing,"6,75",,6,,5,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Doncamatic,"7,25",,7,,6,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Empire Ants,"8,75",,9,,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Glitter Freeze,"7,5",,7,,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,On Melancholy Hill,"8,5",,"8,5",,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Orchestral Intro,7,,"7,5",,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Pirate Jet,"7,5",,"6,5",,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Pirate's Progress,7,,"7,5",,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Plastic Beach,8,,7,,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Rhinestone Eyes,"8,25",,7,,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Some Kind of Nature,8,,7,,,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,Stylo,"7,75",,8,,7,,,,
Hip Hop,Alt Rock,Gorillaz,Plastic Beach,Superfast Jellyfish,"7,75",,"6,5",,,,,,
Hip Hop,Alt Rock,Gorillaz,Plastic Beach,Sweepstakes,"5,25",,"4,5",,4,,,,
Electro,Alt Rock,Gorillaz,Plastic Beach,To Binge,"8,25",,"7,5",,,,,,
Electro,Hip Hop,Gorillaz,Plastic Beach,Welcome to the World of the Plastic Beach,"7,75",,"7,5",,,,,,
Electro,,Gorillaz,Plastic Beach,White Flag,"6,5",,6,,,,,,
Electro,Alt Rock,Gorillaz,Song Machine Episode 3,Aries,"8,25",,,,,,,,
Electro,Alt Rock,Gorillaz,The Fall,Detroit,"7,25",,,,,,,,
Rock,Punk,Green Day,American Idiot,American Idiot,"7,75",,,,,,,,
Rock,Hard Rock,Guns N' Roses,Appetite for Destruction,Paradise City,"8,5",,8,,,,,,
Rock,Hard Rock,Guns N' Roses,Appetite for Destruction,Sweet Child O' Mine,"9,25",?,9,8,,,,,
Metal,Progressive,Haken,Affinity,1985,"7,25",8,6,,6,,,,
Metal,Progressive,Haken,Affinity,affinitiy.exe / Initiate,8,"7,5",8,,9,,,,
Metal,Progressive,Haken,Affinity,Bound By Gravity,7,7,8,,7,,,,
Metal,Progressive,Haken,Affinity,Earthrise,"7,5",8,9,,6,,,,
Metal,Progressive,Haken,Affinity,Lapse,"7,5","7,5",7,,8,,,,
Metal,Progressive,Haken,Affinity,Red Giant,"7,75","7,5",7,,7,,,,
Metal,Progressive,Haken,Affinity,The Architect,8,"8,25","8,5",,9,,,,
Metal,Progressive,Haken,Affinity,The Endless Knot,"7,75",7,7,,7,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,"Aiga wo","4,75",,5,,,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Ashita tenki ni Naare,"7,25",,6,,5,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Dakishimetai,"8,25",,"8,5",,5,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Haikara Beautiful,6,,6,,5,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Haikara Hakuchi,"7,5",,"7,5",,7,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Hanaichimonme,"7,5",,"7,5",,5,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Haru Ranman,7,,6,,4,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Kaze wo Atsumete,"7,25",,6,,6,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Kurayamizaka Musasabi Henka,8,,"7,5",,5,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Natsu nandesu,7,,6,,5,,,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Sorairo no Crayon,"8,5",,9,,8,"7,75",,,
Rock,Folk Rock,Happy End,Kazemachi Roman,Taifuu,"7,75",,"7,5",,7,,,,
Funk,,Heatwave,Too hot to handle,Boogie Nights,"7,75",,"6,5",,,8,,,
Jazz,Jazz Fusion,Herbie Hancock,Head Hunters,Chameleon,"8,25",,,,,,,,
Jazz,Jazz Fusion,Herbie Hancock,Head Hunters,Sly,8,,,,,,,,
Jazz,Jazz Fusion,Herbie Hancock,Head Hunters,Vein Melter,"7,25",,,,,,,,
Jazz,Jazz Fusion,Herbie Hancock,Head Hunters,Watermelon Man,9,,,"5,2",,,,,
Jazz,Jazz Fusion,Herbie Hancock,Sextant,Hidden Shadows,"7,5",,,,5,,,,
Jazz,Jazz Fusion,Herbie Hancock,Sextant,Hornets,"3,5",,,,6,,,,
Jazz,Jazz Fusion,Herbie Hancock,Sextant,Rain Dance,"5,5",,,,4,,,,
Pop,Néo-folk,Hey Hey My My,British Hawaii,The One I Call,7,,,,,,7,,
Rap,Rap Français,Hugo TSR,Périmètre,Périmètre,"6,5",,,,,7,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Bouger la tête,"6,75",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Chez le mac,"7,5",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Dangereux,"8,25",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,"Demain, c'est loin","8,5",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Elle donne son corps avant son nom,"7,75",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,L'École du Micro d'Argent,7,,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,L'empire du côté obscur,"6,5",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,L'enfer,8,,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,La Saga,"6,25",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Libère mon imagination,"7,75",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Nés sous la même étoile,"8,75",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Petit Frère,"8,75",?,8,,,,,,9
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,"Quant tu allais, on revenait",8,,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Regarde,"7,5",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Un bon son brut pour les truands,"6,5",,,,,,,,
Hip Hop,Conscious,IAM,L'École du Micro d'Argent,Un cri court dans la nuit,"9,25",,9,"8,3",,,,,
Metal,Experimental,Igorrr,Spiriyuality and Distorsion,Downgrade Desert,8,,"6,5","8,6",,,,,
Metal,Melodic Death,In Flames,Clayman,Only for the Weak,"7,25",,,,,,,,
Traditional,Folk,Incantation,Pan Pipes of the Andes,Cacharpaya,"8,5",,,?,,,,?,
Metal,Heavy Metal,Iron Maiden,Dance of Death,No More Lies,"8,5",,,,,,,,
Electro,,Jake Chudnow,Short Stories,Poodles,"7,5",,,,,,,,
Electro,,Jake Chudnow,Short Stories,Turquoise,"6,5",,,,,,,,
Chanson,French Pop,Joe Dassin,Joe Dassin,Les Champs Élysées,"6,75",,,7,,5,,,
Classique,Baroque,Johann Sebastian Bach,N/A,"Toccata & Fugue D Minor, BWV 565",8,,,,,,,,
Classique,Valse,Johann Strauss II,N/A,"An Der Schönen, Blauen Donau - Walzer, Op. 314","8,5",,,"7,3",,,,,
Musical,,John Adams,I Was Looking at the Ceiling and Then I Saw the Sky,Finale ,5,,,,,,8,,
Country,,John Denver,"Poems, Prayers & Promises","Take Me Home, Country Roads","7,75",,,,,,,,
Rock,Soft Rock,John Lennon,Imagine,Imagine,"7,25",,,"8,2",,,,,
RnB,Trip Hop,Joji,Gimme Love,Gimme Love,"6,75",,7,,,,,,
Variété,Pop,Jul,La machine,Folie,0,,"0,5","0,2","0,05",,,,
Hip Hop,,Jul,Sousou,Sousou,0,,,"0,1",,1,,,"0,5"
Jazz,Jazz Fusion,Jun Fukamachi,Quark,Desillusion,7,,7,,,,,,
Jazz,Jazz Fusion,Jun Fukamachi,Quark,Insight,7,,5,,,,,,
Jazz,Jazz Fusion,Jun Fukamachi,Quark,Perpetual (Movement),"6,25",,"6,5",,,,,,
Jazz,Jazz Fusion,Jun Fukamachi,Quark,Quark,"7,25",,"6,5",,,,,,
Hip Hop,Trap,Kalash Criminel,N/A,Pronostic,"0,5",,,,,1,,,
OST,Drum & Bass,Kelly Bailey,Half Life 2,CP Violation,,,,,7,,,,
Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,Believe,8,,8,,,,,,
Jazz,,Kenichiro Nishihara,Jazzy Folklore,Magazine,8,,8,,,,,,
Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,My Leaving,"7,75",,"8,5",,,,,,
Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,My Love My Life,"6,25",,6,,,,,,
Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,Pass the Tea,8,,"8,5",?,,,,,
Jazz,,Kenichiro Nishihara,Jazzy Folklore,Piano Choir,"7,75",,"7,5",,,,,,
Jazz,,Kenichiro Nishihara,Jazzy Folklore,Prism Tale,"7,5",,"7,5",,,,,,
Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,The Vibe,"7,25",,7,,,,,,
Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,Wave,6,,"6,5",,,,,,
Jazz,Hip-Hop,Kenichiro Nishihara,Jazzy Folklore,Yesternow Immignrats,"7,5",,"8,5",,,,,,
Rock,Hard Rock,Kiss,Dynasty,I Was Made For Lovin' You,"7,5",,,"9,3",,,,,
OST,,Koji Kondo,Ocarina of Time,Kokiri Forest,"7,25",,6,,10,,,,
Funk,,Kool & The Gang,Emergency,Fresh,"7,75",,,,,,,,
Funk,R&B,Kool & the Gang,Something Special,Get Down on It,"8,75",,9,,,,,,
Metal,Nu Metal,Korn,Korn,Blind,"7,25",,,,,,,,
Metal,Nu Metal,Korn,Untouchables,Alone I Break,"6,75","8,25",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Beat It Upright,"8,5",8,,,,,,,
Metal,Nu Metal,Korn,Untouchables,Blame,8,"7,5",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Bottled Up Inside,"8,25","8,5",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Embrace,"7,5","8,25",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Hating,8,"7,75",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Here To Stay,"8,25","8,5",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Hollow Life,"8,5","8,75",,,,,,,
Metal,Nu Metal,Korn,Untouchables,I'm Hiding,"7,5","8,25",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Make Believe,"7,75","7,75",,,,,,,
Metal,Nu Metal,Korn,Untouchables,No One's There,8,8,,,,,,,
Metal,Nu Metal,Korn,Untouchables,One More Time,"7,75","8,25",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Thoughtless,8,"8,5",,,,,,,
Metal,Nu Metal,Korn,Untouchables,Wake Up Hate,8,"8,5",,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,A Quick Break,"8,5",,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Admission To Perdition,8,,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,All Bets Are Off,9,,"8,25",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Aviary Action,"7,75",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Botanic Panic,8,,8,"7,9",,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Carnival Kerfuffle,9,,"8,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Chief Evil Officer,"6,5",,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Clip Joint Calamity,8,,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Closing Credits,8,,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Coin-Op Bop,"7,75",,6,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Die House,"8,75",,9,9,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Don't Deal With The Devil (Instrumental),"7,5",,6,"7,3",,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Dramatic Fanatic,"8,25",,"8,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Elder Kettle,"8,25",,8,8,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Elder Kettle (piano),"8,25",,"7,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Fiery Frolic,"7,75",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Floral Fury,"8,75",,"8,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Forest Follies,"7,75",,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Funfair Fever,"7,5",,"7,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Funhouse Frazzle,8,,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,High Score,"7,5",,"7,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,High Seas Hi-Jinx,"7,5",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Honeycomb Herald,"7,75",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Hurry Up,"7,5",,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Hell,"8,5",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Hell (Piano),"7,75",,"8,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Isle One,"7,75",,"8,5","8,1",,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Isle One (Piano),"8,5",,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Isle Three,"8,5",,9,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Isle Three (Piano),"8,25",,"8,75",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Isle Two,8,,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Inkwell Isle Two (Piano),"8,25",,"8,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Introduction,8,,8,"8,4",,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Junkyard Jive,"8,25",,"8,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Legendary Ghost,"7,5",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Murine Corps,8,,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Ominous Interlude,6,,6,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,One Hell Of A Time,"7,5",,"7,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Perilious Piers,8,,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Porkrind's Shop,"8,75",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Pyramid Peril,"7,75",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Railroad Wrath,"8,5",,"8,75",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Rugged Ridge,"7,75",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Ruse Of An Ooze,"7,5",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Shootin n' Lootin,8,,"7,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Sugarland Shimmy,"7,5",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,The Airship,"8,5",,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,The End,"7,25",,"7,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,The King's Court,"8,25",,"7,5",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,The Mausoleum,7,,7,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Threatenin' Zeppelin,"8,75",,9,"7,6",,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Treetop Trouble,"7,75",,"7,75",,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Tutorial,"7,25",,"7,5","7,1",,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Victory Tune,8,,8,,,,,,
Jazz,OST,Kristofer Maddigan,Cuphead,Winner Takes All,8,,9,,,,,,
Electro,,Kygo,Like It Is,Like It Is,2,,,,,,,,
Dub,,La P'tite Fumée,N/A,Thunderbreizh,"4,5",,,"6,5",,,,,
Pop,,Lady Gaga,Stupid Love,Stupid Love,7,,?,,,,,,
Jazz,,Lalo Schifrin,Steal Away,Serenata,"7,5",,,,,?,,,
Metal,Groove metal,Lamb of God,VII: Sturm Und Drang,512,8,,,"8,5",,,,,
Rock,Psychedelic,Led Zeppelin,Houses of the Holy,No Quarter,"8,75",,"8,5",,,,,,
Rock,,Led Zeppelin,In Through the Out Door,Fool In the Rain,"7,75",,,,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,Bring It on Home,"8,75",,,,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,Heartbreaker,"8,25",,"8,25",,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,Living Loving Maid (She's Just a Woman) ,"8,5",,"8,5",,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,Moby Dick ,"7,5",,"7,5",,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,Ramble On,"8,25",,9,,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,Thank You ,"7,75",,"7,5",,,,,,
Rock,Blues Rock,Led Zeppelin,Led Zeppelin II,The Lemon Song,"7,5",,"7,5",,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,What Is and What Should Never Be,"8,25",,8,,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin II,Whole Lotta Love,"7,75",,"8,75",,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin III,Celebration Day,"7,75",,8,,,,,,
Rock,Hard Rock,Led Zeppelin,Led Zeppelin IV,Rock and Roll,8,,,,,,,,
Metal,Progressive,Leprous,Malina,Bonneville,"7,5",,"6,5",,7,,,,
Metal,Progressive,Leprous,Malina,Captive,"7,25",,,,,,,,
Metal,Progressive,Leprous,Malina,Coma,"6,5",,,,,,,,
Metal,Progressive,Leprous,Malina,From the Flame,7,,,,6,,,,
Metal,Progressive,Leprous,Malina,Illuminate,"7,5",,,,4,,,,
Metal,Progressive,Leprous,Malina,Leashes,"6,75",,,,5,,,,
Metal,Progressive,Leprous,Malina,Malina,7,,,,,,,,
Metal,Progressive,Leprous,Malina,Mirage,7,,,,8,,,,
Metal,Progressive,Leprous,Malina,Stuck,7,,"7,5",,6,,,,
Metal,Progressive,Leprous,Malina,The Last Milestone,"5,75",,,,,,,,
Metal,Progressive,Leprous,Malina,The Weight of Disaster,8,,,,,,,,
Metal,Progressive,Leprous,The Congregation,Down,"7,25",,,,4,,,,
Metal,Progressive,Leprous,The Congregation,Lower,"7,5",,,,4,,,,
Metal,Progressive,Leprous,The Congregation,Moon,"7,75",,,,7,,,,
Metal,Progressive,Leprous,The Congregation,Pixel,"7,75",,,,4,,,,
Metal,Progressive,Leprous,The Congregation,Red ,8,,,,7,,,,
Metal,Progressive,Leprous,The Congregation,Rewind,"8,5","8,5",,,10,,,,
Metal,Progressive,Leprous,The Congregation,Slave,"8,5",,,,9,,,,
Metal,Progressive,Leprous,The Congregation,The Flood,9,8,,,8,,,,
Metal,Progressive,Leprous,The Congregation,The Price,,7,,,7,,,,
Metal,Progressive,Leprous,The Congregation,Third Law,,"7,25",,,7,,,,
Metal,Progressive,Leprous,The Congregation,Triumphant,,7,,,4,,,,
Metal,Progressive,Leprous,The Congregation,Within My Fence,,,,,4,,,,
Metal,Nu Metal,Linkin Park,Hybrid Theory,In the End,3,,,,,,,,
Metal,Nu Metal,Linkin Park,Meteora,Numb,"4,75",,4,,,,,,
Disco,Funk,Lipps Inc.,Mouth to Mouth,Funkytown,"8,5",,,,,,,,
Jazz,Jazz Fusion,Ludivine Issambourg,Outlaws,Undecided,"8,5",,,,,,,,
Dance,Electro,Luke Million,N/A,Arnold,"8,25",,,,,,,,
Dance,Electro,Luke Million,N/A,Ice Ice Arnie (Cool Party),9,,8,,,,,,
Rock,Country,Lynrd Skynrd,Second Helping,Sweet Home Alabama,"7,5",,,,,,,,
Metal,Thrash,Machine Head,The Blackening,A Farewell to Arms,"7,5",8,,,,,,,
Metal,Thrash,Machine Head,The Blackening,Aesthetics of Hate,8,"7,5",,,,,,,
Metal,Thrash,Machine Head,The Blackening,Beautiful Mourning,8,"7,5",,,,,,,
Metal,Thrash,Machine Head,The Blackening,Clenching the Fists of Dissent,"8,75","8,5",,,,,,,
Metal,Thrash,Machine Head,The Blackening,Halo,9,"8,5",,,,,,,
Metal,Thrash,Machine Head,The Blackening,Now I Lay Thee Down,"7,5","7,5",,,,,,,
Metal,Thrash,Machine Head,The Blackening,Slanderous,"7,75","8,25",,,,,,,
Metal,Thrash,Machine Head,The Blackening,Wolves,"8,5","8,5",,,,,,,
Classique,OST,Mahito Yokota,Super Mario Galaxy,Gusty Gardens,"8,25",,8,,6,,,,
Pop,,Maître Gims,N/A,Reste,"0,25",,3,"0,2",,3,2,,
Jazz,Jazz Fusion,Marcus Miller,Afrodeezia,I Can't Breathe,"8,5",,"8,5",,10,,,,
Funk,R&B,Mary Jane Girls,Mary Jane Girls,All Night Long,"7,5",,7,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,(Exchange),"7,75",8,,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Angel,"7,5","8,75",,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Black Milk,8,8,,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Dissolved Girl,"7,5",8,,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Exchange,"8,25","7,25","7,5",,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Group Four,"7,25",8,,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Inertia Creeps,7,"8,25",,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Man Next Door,8,"8,5",,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Mezzanine,7,8,,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Risingson,"7,75","8,75",,,,,,,
Rock,Experimental,Massive Attack,Mezzanine,Teardrop,"7,75","8,5",,,,,,,
Metal,Progressive,Mastodon,Crack the Skye,Crack the Skye,"8,25","9,25","6,5","9,1",,,,,
Metal,Progressive,Mastodon,Crack the Skye,Divinations,"8,25","8,75",,,,,,,
Metal,Progressive,Mastodon,Crack the Skye,Ghost of Karelia,"8,5","8,5",8,,,,,,
Metal,Progressive,Mastodon,Crack the Skye,Oblivion,"9,25",9,,,,,,,
Metal,Progressive,Mastodon,Crack the Skye,Quintessence,"8,5","8,7",,,,,,,
